4wheel	4WHEEL
aphex-twin	Aphex Twin
bjork	Björk
boards-of-canada	Boards of Canada
burial	Burial
fela-kuti	Fela Kuti
fleetwood-mac	Fleetwood Mac
kendrick-lamar	Kendrick Lamar
radiohead	Radiohead
sleep-token	Sleep Token
tigran-hamasyan	Tigran Hamasyan
a-tribe-called-quest	A Tribe Called Quest
blackpink	BLACKPINK
claude-debussy	Claude Debussy
the-bad-plus	The Bad Plus
trouble	Trouble
kino	Кино
alison-krauss	Alison Krauss
four-tet	Four Tet
shakira	Shakira
the-zombies	The Zombies
alvvays	Alvvays
nico	Nico
tokyo-jihen	東京事変
iu	아이유
haris-alexiou	Χάρις Αλεξίου
fairuz	فيروز
antonis-vardis	Αντώνης Βαρδής
sokratis-malamas	Σωκράτης Μάλαμας
eleftheria-arvanitaki	Ελευθερία Αρβανιτάκη
