arm|regime|mix|in_flight|reps|reps_with_an_opening|openings_min|openings_max|peak_min|peak_max|skipped_min|skipped_max|lost_min|lost_max|doomed_min|doomed_max
control|COMPARABLE|ALL_FIVE|01|20|0|0|0|1|1|0|0|0|0|20|20
control|COMPARABLE|ALL_FIVE|04|20|0|0|0|1|4|0|0|0|0|20|20
control|COMPARABLE|ALL_FIVE|20|20|0|0|0|1|3|0|0|0|0|20|20
control|COMPARABLE|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
control|COMPARABLE|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
control|COMPARABLE|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
control|LABS_FAST|ALL_FIVE|01|20|0|0|0|1|1|0|0|0|0|20|20
control|LABS_FAST|ALL_FIVE|04|20|0|0|0|2|4|0|0|0|0|20|20
control|LABS_FAST|ALL_FIVE|20|20|0|0|0|1|3|0|0|0|0|20|20
control|LABS_FAST|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
control|LABS_FAST|SIMILAR_ONLY|04|20|20|1|1|6|8|0|0|0|0|6|8
control|LABS_FAST|SIMILAR_ONLY|20|20|20|1|1|5|11|0|0|0|0|5|11
control|LABS_SLOW|ALL_FIVE|01|20|0|0|0|1|2|0|0|0|0|20|20
control|LABS_SLOW|ALL_FIVE|04|20|0|0|0|1|3|0|0|0|0|20|20
control|LABS_SLOW|ALL_FIVE|20|20|0|0|0|1|3|0|0|0|0|20|20
control|LABS_SLOW|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
control|LABS_SLOW|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
control|LABS_SLOW|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
host|COMPARABLE|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
host|COMPARABLE|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
host|COMPARABLE|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
host|COMPARABLE|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
host|COMPARABLE|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
host|COMPARABLE|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
host|LABS_FAST|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
host|LABS_FAST|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
host|LABS_FAST|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
host|LABS_FAST|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
host|LABS_FAST|SIMILAR_ONLY|04|20|20|1|1|6|8|0|0|0|0|6|8
host|LABS_FAST|SIMILAR_ONLY|20|20|20|1|1|5|15|0|0|0|0|5|15
host|LABS_SLOW|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
host|LABS_SLOW|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
host|LABS_SLOW|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
host|LABS_SLOW|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
host|LABS_SLOW|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
host|LABS_SLOW|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
type|COMPARABLE|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
type|COMPARABLE|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
type|COMPARABLE|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
type|COMPARABLE|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
type|COMPARABLE|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
type|COMPARABLE|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
type|LABS_FAST|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
type|LABS_FAST|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
type|LABS_FAST|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
type|LABS_FAST|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
type|LABS_FAST|SIMILAR_ONLY|04|20|20|1|1|6|8|0|0|0|0|6|8
type|LABS_FAST|SIMILAR_ONLY|20|20|20|1|1|5|20|0|0|0|0|5|20
type|LABS_SLOW|ALL_FIVE|01|20|20|1|1|5|5|0|0|0|0|5|5
type|LABS_SLOW|ALL_FIVE|04|20|20|1|1|8|8|0|0|0|0|8|8
type|LABS_SLOW|ALL_FIVE|20|20|20|1|1|20|20|0|0|0|0|20|20
type|LABS_SLOW|SIMILAR_ONLY|01|20|20|1|1|5|5|0|0|0|0|5|5
type|LABS_SLOW|SIMILAR_ONLY|04|20|20|1|1|8|8|0|0|0|0|8|8
type|LABS_SLOW|SIMILAR_ONLY|20|20|20|1|1|20|20|0|0|0|0|20|20
