arm|regime|mix|in_flight|rep|main_api_skipped|doomed_calls|answers_lost|openings|peak_consecutive_failures|states|wall_ms
control|LABS_FAST|ALL_FIVE|1|0|0|20|0|0|1|{listenbrainz=CLOSED}|2078
control|LABS_FAST|ALL_FIVE|1|1|0|20|0|0|1|{listenbrainz=CLOSED}|2074
control|LABS_FAST|ALL_FIVE|1|2|0|20|0|0|1|{listenbrainz=CLOSED}|2066
control|LABS_FAST|ALL_FIVE|1|3|0|20|0|0|1|{listenbrainz=CLOSED}|2063
control|LABS_FAST|ALL_FIVE|1|4|0|20|0|0|1|{listenbrainz=CLOSED}|2059
control|LABS_FAST|ALL_FIVE|1|5|0|20|0|0|1|{listenbrainz=CLOSED}|2060
control|LABS_FAST|ALL_FIVE|1|6|0|20|0|0|1|{listenbrainz=CLOSED}|2056
control|LABS_FAST|ALL_FIVE|1|7|0|20|0|0|1|{listenbrainz=CLOSED}|2055
control|LABS_FAST|ALL_FIVE|1|8|0|20|0|0|1|{listenbrainz=CLOSED}|2053
control|LABS_FAST|ALL_FIVE|1|9|0|20|0|0|1|{listenbrainz=CLOSED}|2052
control|LABS_FAST|ALL_FIVE|1|10|0|20|0|0|1|{listenbrainz=CLOSED}|2050
control|LABS_FAST|ALL_FIVE|1|11|0|20|0|0|1|{listenbrainz=CLOSED}|2053
control|LABS_FAST|ALL_FIVE|1|12|0|20|0|0|1|{listenbrainz=CLOSED}|2051
control|LABS_FAST|ALL_FIVE|1|13|0|20|0|0|1|{listenbrainz=CLOSED}|2048
control|LABS_FAST|ALL_FIVE|1|14|0|20|0|0|1|{listenbrainz=CLOSED}|2049
control|LABS_FAST|ALL_FIVE|1|15|0|20|0|0|1|{listenbrainz=CLOSED}|2047
control|LABS_FAST|ALL_FIVE|1|16|0|20|0|0|1|{listenbrainz=CLOSED}|2047
control|LABS_FAST|ALL_FIVE|1|17|0|20|0|0|1|{listenbrainz=CLOSED}|2047
control|LABS_FAST|ALL_FIVE|1|18|0|20|0|0|1|{listenbrainz=CLOSED}|2048
control|LABS_FAST|ALL_FIVE|1|19|0|20|0|0|1|{listenbrainz=CLOSED}|2046
control|LABS_FAST|ALL_FIVE|4|0|0|20|0|0|2|{listenbrainz=CLOSED}|2036
control|LABS_FAST|ALL_FIVE|4|1|0|20|0|0|4|{listenbrainz=CLOSED}|2037
control|LABS_FAST|ALL_FIVE|4|2|0|20|0|0|3|{listenbrainz=CLOSED}|2038
control|LABS_FAST|ALL_FIVE|4|3|0|20|0|0|3|{listenbrainz=CLOSED}|2036
control|LABS_FAST|ALL_FIVE|4|4|0|20|0|0|3|{listenbrainz=CLOSED}|2034
control|LABS_FAST|ALL_FIVE|4|5|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|6|0|20|0|0|4|{listenbrainz=CLOSED}|2037
control|LABS_FAST|ALL_FIVE|4|7|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|8|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|9|0|20|0|0|4|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|10|0|20|0|0|3|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|11|0|20|0|0|2|{listenbrainz=CLOSED}|2034
control|LABS_FAST|ALL_FIVE|4|12|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|13|0|20|0|0|3|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|4|14|0|20|0|0|3|{listenbrainz=CLOSED}|2036
control|LABS_FAST|ALL_FIVE|4|15|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|4|16|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|4|17|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|18|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|4|19|0|20|0|0|2|{listenbrainz=CLOSED}|2035
control|LABS_FAST|ALL_FIVE|20|0|0|20|0|0|1|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|1|0|20|0|0|2|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|2|0|20|0|0|2|{listenbrainz=CLOSED}|2034
control|LABS_FAST|ALL_FIVE|20|3|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|20|4|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|20|5|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|20|6|0|20|0|0|2|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|20|7|0|20|0|0|3|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|8|0|20|0|0|2|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|9|0|20|0|0|2|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|10|0|20|0|0|1|{listenbrainz=CLOSED}|2033
control|LABS_FAST|ALL_FIVE|20|11|0|20|0|0|2|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|12|0|20|0|0|1|{listenbrainz=CLOSED}|2032
control|LABS_FAST|ALL_FIVE|20|13|0|20|0|0|2|{listenbrainz=CLOSED}|2030
control|LABS_FAST|ALL_FIVE|20|14|0|20|0|0|1|{listenbrainz=CLOSED}|2031
control|LABS_FAST|ALL_FIVE|20|15|0|20|0|0|2|{listenbrainz=CLOSED}|2030
control|LABS_FAST|ALL_FIVE|20|16|0|20|0|0|2|{listenbrainz=CLOSED}|2031
control|LABS_FAST|ALL_FIVE|20|17|0|20|0|0|2|{listenbrainz=CLOSED}|2031
control|LABS_FAST|ALL_FIVE|20|18|0|20|0|0|2|{listenbrainz=CLOSED}|2031
control|LABS_FAST|ALL_FIVE|20|19|0|20|0|0|2|{listenbrainz=CLOSED}|2029
control|LABS_FAST|SIMILAR_ONLY|1|0|0|5|0|1|5|{listenbrainz=OPEN}|7
control|LABS_FAST|SIMILAR_ONLY|1|1|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|2|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|3|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|4|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|5|0|5|0|1|5|{listenbrainz=OPEN}|5
control|LABS_FAST|SIMILAR_ONLY|1|6|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|7|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|8|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|9|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|10|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|11|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|12|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|13|0|5|0|1|5|{listenbrainz=OPEN}|5
control|LABS_FAST|SIMILAR_ONLY|1|14|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|15|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|16|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|17|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|18|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|1|19|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|4|0|0|6|0|1|6|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|1|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|2|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|3|0|7|0|1|7|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|4|0|7|0|1|7|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|5|0|8|0|1|8|{listenbrainz=OPEN}|3
control|LABS_FAST|SIMILAR_ONLY|4|6|0|6|0|1|6|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|7|0|8|0|1|8|{listenbrainz=OPEN}|3
control|LABS_FAST|SIMILAR_ONLY|4|8|0|8|0|1|8|{listenbrainz=OPEN}|3
control|LABS_FAST|SIMILAR_ONLY|4|9|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|10|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|11|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|12|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|13|0|8|0|1|8|{listenbrainz=OPEN}|6
control|LABS_FAST|SIMILAR_ONLY|4|14|0|8|0|1|8|{listenbrainz=OPEN}|3
control|LABS_FAST|SIMILAR_ONLY|4|15|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|16|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|17|0|8|0|1|8|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|18|0|6|0|1|6|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|4|19|0|7|0|1|7|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|20|0|0|7|0|1|7|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|20|1|0|7|0|1|7|{listenbrainz=OPEN}|2
control|LABS_FAST|SIMILAR_ONLY|20|2|0|11|0|1|11|{listenbrainz=OPEN}|3
control|LABS_FAST|SIMILAR_ONLY|20|3|0|5|0|1|5|{listenbrainz=OPEN}|4
control|LABS_FAST|SIMILAR_ONLY|20|4|0|5|0|1|5|{listenbrainz=OPEN}|2
