arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	identityMbid	identityCorrect	latinName	requests	ms	detail
a	A1	artist	deezer	ARTIST_PHOTO	MATCH	Tokyo Incidents	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/f05f2c765b9eeebc9a1bc40eff265415/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/384298/top?limit=50","link":"https://www.deezer.com/artist/384298","picture_s	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	1	409	conf=0.8
a	A1	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Tokyo Incidents	{"artistLinkUrl":"https://music.apple.com/us/artist/tokyo-incidents/74570585?uo=4","amgArtistId":879391,"wrapperType":"artist","artistType":"Artist","artistName":"Tokyo Incidents","artistId":74570585,"primaryGenreId":21,"primaryGenreName":"	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	3064	conf=0.8
a	A1	artist	discogs	ARTIST_PHOTO	MATCH	Tokyo Jihen	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2257146","thumb":"https://i.discogs.com/sCet390Y39uxvxjOrDgARM9q7yIAo9YQnJrDLggHDGI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyNTcx/NDYtMTc1Mz	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	1795	conf=0.6
a	A2	artist	deezer	ARTIST_PHOTO	MATCH	IU	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/c619e4cef93d6fa98a38018d92106bb6/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/2810121/top?limit=50","link":"https://www.deezer.com/artist/2810121","picture	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	1	394	conf=0.8
a	A2	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	IU	{"artistLinkUrl":"https://music.apple.com/us/artist/iu/409076743?uo=4","amgArtistId":2428653,"wrapperType":"artist","artistType":"Artist","artistName":"IU","artistId":409076743,"primaryGenreId":51,"primaryGenreName":"K-Pop"}	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	3044	conf=0.8
a	A2	artist	discogs	ARTIST_PHOTO	MATCH	IU	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2226306","thumb":"https://i.discogs.com/xrOseIunDcpOChtHKE5tqBU9npl8pZiAo3SijtCqm2c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyMjYz/MDYtMTU5Nz	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	2076	conf=0.6
a	A3	artist	deezer	ARTIST_PHOTO	MATCH	Kino	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/f5b98e009ea928c9bfc468b9d5931c37/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/12490754/top?limit=50","link":"https://www.deezer.com/artist/12490754","pictu	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	409	conf=0.8
a	A3	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Kino	{"artistLinkUrl":"https://music.apple.com/us/artist/kino/157264589?uo=4","amgArtistId":873831,"wrapperType":"artist","artistType":"Artist","artistName":"Kino","artistId":157264589,"primaryGenreId":19,"primaryGenreName":"Worldwide"}	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	2	3132	conf=0.8
a	A3	artist	discogs	ARTIST_PHOTO	MATCH	Kino	{"master_id":null,"resource_url":"https://api.discogs.com/artists/739051","thumb":"https://i.discogs.com/1XIXCVKDdIoF-O_7U_LXaKw4LQodxGXih37I7OBtsaA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTczOTA1/MS0xNTQ4MjQ	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	2	1687	conf=0.6
a	A4	artist	deezer	ARTIST_PHOTO	MATCH	Haris Alexiou	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/2fb8199e0d8bd0e72b76010653d70733/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/80597/top?limit=50","link":"https://www.deezer.com/artist/80597","picture_sma	2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	511	conf=0.8
