arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	identityMbid	identityCorrect	latinName	requests	ms	detail
b	A1	artist	deezer	ARTIST_PHOTO	MATCH	Tokyo Incidents	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/f05f2c765b9eeebc9a1bc40eff265415/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/384298/top?limit=50","link":"https://www.deezer.com/artist/384298","picture_s	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	1	369	conf=0.8 tiers=[(Tokyo Incidents, PRIMARY_ALIAS)]
b	A1	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Tokyo Incidents	{"artistLinkUrl":"https://music.apple.com/us/artist/tokyo-incidents/74570585?uo=4","amgArtistId":879391,"wrapperType":"artist","artistType":"Artist","artistName":"Tokyo Incidents","artistId":74570585,"primaryGenreId":21,"primaryGenreName":"	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	3073	conf=0.8 tiers=[(Tokyo Incidents, PRIMARY_ALIAS)]
b	A1	artist	discogs	ARTIST_PHOTO	MATCH	Tokyo Jihen	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2257146","thumb":"https://i.discogs.com/sCet390Y39uxvxjOrDgARM9q7yIAo9YQnJrDLggHDGI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyNTcx/NDYtMTc1Mz	b3d0f168-cb34-47c6-8529-fc05d1fce3ee	true	Tokyo Incidents	2	2177	conf=0.6 tiers=[(Tokyo Jihen, PRIMARY_ALIAS)]
b	A2	artist	deezer	ARTIST_PHOTO	MATCH	IU	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/c619e4cef93d6fa98a38018d92106bb6/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/2810121/top?limit=50","link":"https://www.deezer.com/artist/2810121","picture	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	1	411	conf=0.8 tiers=[(IU, PRIMARY_ALIAS)]
b	A2	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	IU	{"artistLinkUrl":"https://music.apple.com/us/artist/iu/409076743?uo=4","amgArtistId":2428653,"wrapperType":"artist","artistType":"Artist","artistName":"IU","artistId":409076743,"primaryGenreId":51,"primaryGenreName":"K-Pop"}	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	3030	conf=0.8 tiers=[(IU, PRIMARY_ALIAS), (I.U., PRIMARY_ALIAS)]
b	A2	artist	discogs	ARTIST_PHOTO	REJECT	IU	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2226306","thumb":"https://i.discogs.com/xrOseIunDcpOChtHKE5tqBU9npl8pZiAo3SijtCqm2c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyMjYz/MDYtMTU5Nz	b9545342-1e6d-4dae-84ac-013374ad8d7c	true	IU	2	1689	NotFound tiers=[(IU, PRIMARY_ALIAS)]
b	A3	artist	deezer	ARTIST_PHOTO	MATCH	Кино	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/ec428d21f614b586a7b647f8da435913/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/4505880/top?limit=50","link":"https://www.deezer.com/artist/4505880","picture	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	1	480	conf=0.8 tiers=[]
b	A3	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Кино	{"artistLinkUrl":"https://music.apple.com/us/artist/kino/621768190?uo=4","amgArtistId":13419,"wrapperType":"artist","artistType":"Artist","artistName":"Кино","artistId":621768190,"primaryGenreId":21,"primaryGenreName":"Rock"}	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	2	3040	conf=0.8 tiers=[]
b	A3	artist	discogs	ARTIST_PHOTO	MATCH	Кино	{"master_id":null,"resource_url":"https://api.discogs.com/artists/345278","thumb":"https://i.discogs.com/CKMPkYZAG7hkPj_YJKAi3t2uOXHRXW07T1KzJ9s0-sc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM0NTI3/OC0xNzExMjU	064db6e8-fdfb-4acb-a327-fc2de75b37de	true	Kino	2	1778	conf=0.6 tiers=[]
b	A4	artist	deezer	ARTIST_PHOTO	MATCH	Haris Alexiou	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/2fb8199e0d8bd0e72b76010653d70733/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/80597/top?limit=50","link":"https://www.deezer.com/artist/80597","picture_sma	2dc67a2d-5914-4064-bf7b-8c8ea77bfab6	true	Haris Alexiou	1	375	conf=0.8 tiers=[(Haris Alexiou, PRIMARY_ALIAS)]
