arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	poolSize	pool	mbRequests	requests	ms	detail
baseline	A1	artist	deezer	ARTIST_PHOTO	REJECT			0		2	1	17504	NotFound
baseline	A1	artist	itunes	ARTIST_DISCOGRAPHY	REJECT			0		2	1	2638	NotFound
baseline	A1	artist	discogs	ARTIST_PHOTO	REJECT			0		2	1	3531	NotFound
baseline	A2	artist	deezer	ARTIST_PHOTO	REJECT			0		2	1	2867	NotFound
baseline	A2	artist	itunes	ARTIST_DISCOGRAPHY	REJECT			0		2	1	6072	NotFound
baseline	A2	artist	discogs	ARTIST_PHOTO	REJECT			0		2	1	3349	NotFound
baseline	A3	artist	deezer	ARTIST_PHOTO	MATCH	Кино	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/ec428d21f614b586a7b647f8da435913/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/4505880/top?limit=50","link":"https://www.deezer.com/artist/4505880","picture	0		2	1	7785	conf=0.8
baseline	A3	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Кино	{"artistLinkUrl":"https://music.apple.com/us/artist/kino/621768190?uo=4","amgArtistId":13419,"wrapperType":"artist","artistType":"Artist","artistName":"Кино","artistId":621768190,"primaryGenreId":21,"primaryGenreName":"Rock"}	0		2	2	5803	conf=0.8
baseline	A3	artist	discogs	ARTIST_PHOTO	MATCH	Кино	{"master_id":null,"resource_url":"https://api.discogs.com/artists/345278","thumb":"https://i.discogs.com/CKMPkYZAG7hkPj_YJKAi3t2uOXHRXW07T1KzJ9s0-sc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM0NTI3/OC0xNzExMjU	0		2	2	3717	conf=0.6
baseline	A4	artist	deezer	ARTIST_PHOTO	MATCH	Χάρις Αλεξίου	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/806735/top?limit=50","link":"https://www.deezer.com/artist/806735","picture_small":"https://cdn-images.dzcdn.	0		2	1	23168	conf=0.8
baseline	A4	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Χάρις Αλεξίου	{"artistLinkUrl":"https://music.apple.com/us/artist/haris-alexiou/39701368?uo=4","amgArtistId":143787,"wrapperType":"artist","artistType":"Artist","artistName":"Χάρις Αλεξίου","artistId":39701368,"primaryGenreId":14,"primaryGenreName":"Pop"	0		2	2	14958	conf=0.8
baseline	A4	artist	discogs	ARTIST_PHOTO	MATCH	Χάρις Αλεξίου	{"master_id":null,"resource_url":"https://api.discogs.com/artists/1446579","thumb":"https://i.discogs.com/1qjTw60TsfACCex5cYn0k7gW_H3GIf35IarNIRX61xs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE0NDY1/NzktMTU1OD	0		2	2	3550	conf=0.6
baseline	A5	artist	deezer	ARTIST_PHOTO	REJECT			0		1	1	39164	NotFound
baseline	A5	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	فيروز	{"artistLinkUrl":"https://music.apple.com/us/artist/%D9%81%D9%8A%D8%B1%D9%88%D8%B2/1755071250?uo=4","wrapperType":"artist","artistType":"Artist","artistName":"فيروز","artistId":1755071250,"primaryGenreId":1289,"primaryGenreName":"Folk"}	0		2	2	29334	conf=0.8
baseline	A5	artist	discogs	ARTIST_PHOTO	REJECT			0		2	1	9224	NotFound
baseline	A6	artist	deezer	ARTIST_PHOTO	MATCH	Radiohead	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/96b688020014a21cb80a0268b90287f5/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/399/top?limit=50","link":"https://www.deezer.com/artist/399","picture_small":	0		2	1	3175	conf=0.8
baseline	A6	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Radiohead	{"artistLinkUrl":"https://music.apple.com/us/artist/radiohead/657515?uo=4","amgArtistId":41092,"wrapperType":"artist","artistType":"Artist","artistName":"Radiohead","artistId":657515,"primaryGenreId":20,"primaryGenreName":"Alternative"}	0		2	2	5600	conf=0.8
baseline	A6	artist	discogs	ARTIST_PHOTO	MATCH	Radiohead	{"master_id":null,"resource_url":"https://api.discogs.com/artists/3840","thumb":"https://i.discogs.com/0fBd_IuD_fCu9pjqKALt0Lg4fclIX9RjbBmkJ1urg9Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM4NDAt/MTM4NjM1MjI4N	0		2	2	13348	conf=0.6
baseline	B1	album	deezer	ALBUM_ART	REJECT			0		3	1	12592	NotFound
baseline	B1	album	itunes	ALBUM_ART	REJECT			0		3	1	4236	NotFound
baseline	B1	album	discogs	ALBUM_ART	REJECT			0		3	1	4841	NotFound
baseline	B2	album	deezer	ALBUM_ART	REJECT			0		2	1	24017	NotFound
baseline	B2	album	itunes	ALBUM_ART	REJECT			0		2	1	9954	NotFound
baseline	B2	album	discogs	ALBUM_ART	REJECT			0		2	1	10816	NotFound
baseline	B3	album	deezer	ALBUM_ART	MATCH	Кино	DeezerAlbumResult(id=54717452, title=Группа крови, artistName=Кино, coverSmall=https://cdn-images.dzcdn.net/images/cover/b39e82e1e4fdaf3f08ae582e8c9565cd/56x56-000000-80-0-0.jpg, coverMedium=https://cdn-images.dzcdn.net/images/cover/b39e82e	0		3	1	17433	conf=0.8
baseline	B3	album	itunes	ALBUM_ART	REJECT			0		3	1	4120	NotFound
