arm	item	kind	provider	type	outcome	pickedArtist	pickedDetail	poolSize	pool	mbRequests	requests	ms	detail
live	A1	artist	deezer	ARTIST_PHOTO	MATCH	Tokyo Incidents	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/f05f2c765b9eeebc9a1bc40eff265415/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/384298/top?limit=50","link":"https://www.deezer.com/artist/384298","picture_s	5	東京事変|Tokyo Incidents|Tokyo Jihen|東京事變|东京事变	2	1	3756	conf=0.76
live	A1	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Tokyo Incidents	{"artistLinkUrl":"https://music.apple.com/us/artist/tokyo-incidents/74570585?uo=4","amgArtistId":879391,"wrapperType":"artist","artistType":"Artist","artistName":"Tokyo Incidents","artistId":74570585,"primaryGenreId":21,"primaryGenreName":"	5	東京事変|Tokyo Incidents|Tokyo Jihen|東京事變|东京事变	2	2	6555	conf=0.76
live	A1	artist	discogs	ARTIST_PHOTO	MATCH	Tokyo Jihen	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2257146","thumb":"https://i.discogs.com/sCet390Y39uxvxjOrDgARM9q7yIAo9YQnJrDLggHDGI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyNTcx/NDYtMTc1Mz	5	東京事変|Tokyo Incidents|Tokyo Jihen|東京事變|东京事变	2	2	8707	conf=0.57
live	A2	artist	deezer	ARTIST_PHOTO	MATCH	IU	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/c619e4cef93d6fa98a38018d92106bb6/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/2810121/top?limit=50","link":"https://www.deezer.com/artist/2810121","picture	5	IU|Lee Ji-eun|아이유|이지은|IU	2	1	3568	conf=0.76
live	A2	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	IU	{"artistLinkUrl":"https://music.apple.com/us/artist/iu/409076743?uo=4","amgArtistId":2428653,"wrapperType":"artist","artistType":"Artist","artistName":"IU","artistId":409076743,"primaryGenreId":51,"primaryGenreName":"K-Pop"}	5	IU|Lee Ji-eun|아이유|이지은|IU	2	2	5717	conf=0.76
live	A2	artist	discogs	ARTIST_PHOTO	REJECT	IU	{"master_id":null,"resource_url":"https://api.discogs.com/artists/2226306","thumb":"https://i.discogs.com/xrOseIunDcpOChtHKE5tqBU9npl8pZiAo3SijtCqm2c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIyMjYz/MDYtMTU5Nz	5	IU|Lee Ji-eun|아이유|이지은|IU	2	2	3803	NotFound
live	A3	artist	deezer	ARTIST_PHOTO	MATCH	Кино	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist/ec428d21f614b586a7b647f8da435913/1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/4505880/top?limit=50","link":"https://www.deezer.com/artist/4505880","picture	7	Кино|Абсолютное кино|Kino|Кіно|Кино|Gruppa Kino|Êèíî	2	1	2557	conf=0.8
live	A3	artist	itunes	ARTIST_DISCOGRAPHY	MATCH	Кино	{"artistLinkUrl":"https://music.apple.com/us/artist/kino/621768190?uo=4","amgArtistId":13419,"wrapperType":"artist","artistType":"Artist","artistName":"Кино","artistId":621768190,"primaryGenreId":21,"primaryGenreName":"Rock"}	7	Кино|Абсолютное кино|Kino|Кіно|Кино|Gruppa Kino|Êèíî	2	2	5708	conf=0.8
live	A3	artist	discogs	ARTIST_PHOTO	MATCH	Кино	{"master_id":null,"resource_url":"https://api.discogs.com/artists/345278","thumb":"https://i.discogs.com/CKMPkYZAG7hkPj_YJKAi3t2uOXHRXW07T1KzJ9s0-sc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM0NTI3/OC0xNzExMjU	7	Кино|Абсолютное кино|Kino|Кіно|Кино|Gruppa Kino|Êèíî	2	2	3714	conf=0.6
live	A4	artist	deezer	ARTIST_PHOTO	MATCH	Χάρις Αλεξίου	{"picture_xl":"https://cdn-images.dzcdn.net/images/artist//1000x1000-000000-80-0-0.jpg","tracklist":"https://api.deezer.com/artist/806735/top?limit=50","link":"https://www.deezer.com/artist/806735","picture_small":"https://cdn-images.dzcdn.	12	Χάρις Αλεξίου|Xaroula Aleksiou|Kharis Alexiou|Charoula Alexiou|Χαρούλα Αλεξίου|Xaris Alexiou|ΧΑΡΙΣ ΑΛΕΞΙΟΥ|×Üñéò Áëåîßïõ|Charis Alexiou|Több elõadó|Haris Alexiou|Χάρις Αλεξίου	2	1	11056	conf=0.8
